"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\CardAbstracts\Card.cs", "C#", 114, 0, 33, 147
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\CardAbstracts\MeleeCard.cs", "C#", 22, 0, 6, 28
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\CardAbstracts\ShooterCard.cs", "C#", 28, 0, 8, 36
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Cards\ValkyrieCard.cs", "C#", 19, 0, 2, 21
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Cards\WizardCard.cs", "C#", 22, 0, 2, 24
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Helpers\CardParamHelper.cs", "C#", 38, 0, 4, 42
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Helpers\CardParams.cs", "C#", 24, 0, 2, 26
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Helpers\CardTypes.cs", "C#", 9, 0, 2, 11
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Helpers\MeleeCardParams.cs", "C#", 9, 0, 2, 11
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Helpers\ShooterCardParams.cs", "C#", 15, 0, 2, 17
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Helpers\Side.cs", "C#", 4, 0, 0, 4
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Helpers\Utils.cs", "C#", 8, 0, 1, 9
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Misc\Bullet.cs", "C#", 36, 0, 10, 46
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Misc\Castle.cs", "C#", 20, 0, 5, 25
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Misc\Chat.cs", "C#", 71, 0, 20, 91
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Misc\JoinMenuUI.cs", "C#", 15, 0, 3, 18
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Misc\LookAtCameraScript.cs", "C#", 14, 0, 4, 18
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Misc\RelayManager.cs", "C#", 41, 0, 10, 51
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Misc\Sun.cs", "C#", 9, 0, 3, 12
"c:\Users\eitan\Documents\Projects\Unity\Clash-FPS\ClashFPS\Assets\Scripts\Player.cs", "C#", 122, 0, 35, 157
"Total", "-", 640, 0, 154, 794